IDZC	NLOCALIDAD	
015	SOCAIRE
999	
001	
001	
001	
002	
003	
004	
005	
006	
002	CALETA GUAMN
003	CALETA HUACHN
005	CALETA PUNTA ARENAS
006	CALETA URCO
015	LOS PIRQUINEROS
018	PAQUICA
020	PIEDRAS NEGRAS
023	QUEBRADA HONDA
901	INDETERMINADA
010	ESTACIN BARRILES
901	INDETERMINADA
001	CALETA BUENA
004	CALETA INDGENA
007	COBIJA
008	CONCHUELA
011	GATICO
012	GUANILLOS
016	MANTOS DE LA LUNA
019	PIEDRA DEL ELEFANTE
021	PUNTA ATALA
024	REFUGIO FRAGITA
901	INDETERMINADA
001	
003	
004	
022	PUNTA BLANCA
999	
011	VALLE DE QUILLAGUA
901	INDETERMINADA
006	GEOGLIFOS CHUG CHUG
001	
002	
003	CRUCERO
004	CUCHILLN
002	COYA SUR
001	ABENGOA
009	MINERA ANTUCOYA
999	
001	
001	
001	
001	
001	
001	
002	
003	
004	
005	
006	
007	
008	
009	
001	
002	
001	
001	
006	CARDONES
041	SIERRA JESS MARA
001	
901	INDETERMINADA
001	
002	
003	
002	BELLAVISTA
003	BODEGA
006	CARDONES
007	CARPA DEL CUATRO
012	CERRO NEGRO
013	CHAMONATE
024	OJANCO NUEVO
025	OJANCO VIEJO
047	TOLEDO
901	INDETERMINADA
001	AGUADA LA JUSTA
011	CASTILLA
029	QUEBRADA LA HIGUERA
030	QUEBRADA LOS LIRIOS
038	SIERRA CHAARCILLO
048	TOTORAL
901	INDETERMINADA
022	MINA POLVOREDA
029	QUEBRADA LA HIGUERA
031	QUEBRADA LOS SAPOS
009	CARRETERA COPIAP-VALLENAR
001	
002	
003	
004	
006	CARDONES
050	VIITA AZUL
010	CASERN
013	CHAMONATE
017	DOS HERMANAS
021	MARGARITA
026	PIEDRA COLGADA
035	SAN JUAN
037	SAN PEDRO
901	INDETERMINADA
004	CACHIYUYO DE ORO
005	CACHIYUYO LLAMPO
008	CARRERA PINTO
040	SIERRA GALLEGUILLOS
045	SIERRA RAJO DE ORO
901	INDETERMINADA
014	COIPA
027	QUEBRADA DE PQUIOS
032	QUEBRADA PAIPOTE
033	QUEBRADA SAN ANDRS
901	INDETERMINADA
028	QUEBRADA GARN
032	QUEBRADA PAIPOTE
034	QUEBRADA SAN MIGUEL
001	
002	
003	
004	
005	
006	
007	
032	QUEBRADA PAIPOTE
039	SIERRA CHECO DE PLATA
050	VIITA AZUL
901	INDETERMINADA
015	COMUNIDAD AGRCOLA HISTRICA TOTORAL
048	TOTORAL
001	
002	
003	
004	
005	
001	
002	
003	
004	
005	
999	
001	
002	
003	
007	
001	BAHA INGLESA
004	CALDERA
901	INDETERMINADA
009	SIERRA EL MORADO
